task_id,system,model_id,seed,n_calls,in_tok,fresh_tok,out_tok
E06_pathway_enrichment,glm_baseline,glm-5.1,2,11,58293,9499,5996
A03_hvg,glm_baseline,glm-5.1,2,3,5117,2456,1453
G02_multi_method_da,glm_baseline,glm-5.1,2,27,232345,21323,10845
F02_multi_method_trajectory,glm_baseline,glm-5.1,0,31,359112,22142,14962
G02_multi_method_da,glm_baseline,glm-5.1,0,19,163317,20679,11435
G05_phylogenetic_diversity,glm_baseline,glm-5.1,1,33,471065,54154,13837
G03_16s_ordination_pcoa,glm_baseline,glm-5.1,2,9,34169,7722,4729
L02_foundation_model_celltype_annotation,glm_baseline,glm-5.1,1,50,660631,40777,12220
F03_paga_pseudotime,glm_baseline,glm-5.1,1,5,17153,6052,4538
B09_cnmf_gene_programs,glm_baseline,glm-5.1,0,5,48127,15180,3762
C04_spatial_trajectory_stt,glm_baseline,glm-5.1,0,7,42233,11612,5578
G03_16s_ordination_pcoa,glm_baseline,glm-5.1,1,12,127899,16568,6446
C01_visium_spatial_domain,glm_baseline,glm-5.1,0,49,1228270,50140,35037
L03_foundation_model_zero_shot_inference,glm_baseline,glm-5.1,0,28,224320,14300,3243
A01_qc_filter,glm_baseline,glm-5.1,1,18,121470,13166,5049
L03_foundation_model_zero_shot_inference,glm_baseline,glm-5.1,1,45,606670,32170,9579
E01_bulk_deconvolution,glm_baseline,glm-5.1,0,11,75536,11365,6873
F01_multi_mode_velocity,glm_baseline,glm-5.1,0,17,155013,15238,9977
B04_multi_method_batch_correction,glm_baseline,glm-5.1,2,18,137323,12016,7634
L01_foundation_model_cell_embedding,glm_baseline,glm-5.1,2,50,1136781,44308,18660
C02_visium_hd_svg,glm_baseline,glm-5.1,1,27,288181,18605,14376
E06_pathway_enrichment,glm_baseline,glm-5.1,1,18,109470,11972,7019
B11_scrna_cell_cell_communication,glm_baseline,glm-5.1,0,21,151525,14315,4861
B05_multi_method_annotation,glm_baseline,glm-5.1,2,25,257557,22556,12996
E07_ppi_network,glm_baseline,glm-5.1,1,12,67997,9753,7393
B08_aucell_pathway_scoring,glm_baseline,glm-5.1,0,7,19056,4500,2218
A04_pca_neighbors_umap,glm_baseline,glm-5.1,1,2,2549,1612,544
E01_bulk_deconvolution,glm_baseline,glm-5.1,1,16,174479,20552,12086
B01_full_pipeline,glm_baseline,glm-5.1,2,14,138920,18594,13127
E03_bulk_de_multi_method,glm_baseline,glm-5.1,2,16,99097,10172,7218
C05_spatial_celltype_deconvolution,glm_baseline,glm-5.1,2,9,56990,12037,5152
E01_bulk_deconvolution,glm_baseline,glm-5.1,2,13,140321,20414,12901
F02_multi_method_trajectory,glm_baseline,glm-5.1,1,8,49613,8327,5793
B10_gene_regulatory_network,glm_baseline,glm-5.1,1,50,679340,25659,9850
G01_16s_diversity,glm_baseline,glm-5.1,1,12,68414,9112,4237
A02_normalize_log,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,14353,3854,225
A05_leiden_clustering,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,16216,4678,441
E07_ppi_network,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,52521,8444,2030
B06_reference_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,1,50,2222316,90477,28417
B10_gene_regulatory_network,gemini_omicverse,gemini-3.1-flash-lite-preview,2,25,5518375,722321,3641
G04_16s_taxonomic_collapse,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,111976,20484,3316
A02_normalize_log,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,14575,4076,218
F01_multi_mode_velocity,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,53598,8484,1989
E04_bulk_wgcna,gemini_omicverse,gemini-3.1-flash-lite-preview,2,11,176512,28267,5207
L01_foundation_model_cell_embedding,gemini_omicverse,gemini-3.1-flash-lite-preview,2,19,183732,14573,3156
C04_spatial_trajectory_stt,gemini_omicverse,gemini-3.1-flash-lite-preview,2,9,79904,14205,1190
E05_bulk_metabol_multivariate,gemini_omicverse,gemini-3.1-flash-lite-preview,0,18,129672,12033,2546
A05_leiden_clustering,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,17191,5060,496
E03_bulk_de_multi_method,gemini_omicverse,gemini-3.1-flash-lite-preview,1,5,20607,4792,692
F03_paga_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,15502,4628,507
G02_multi_method_da,gemini_omicverse,gemini-3.1-flash-lite-preview,2,16,178479,21708,4048
F03_paga_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,15190,4544,504
C01_visium_spatial_domain,gemini_omicverse,gemini-3.1-flash-lite-preview,0,14,146801,16363,5232
B05_multi_method_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,0,12,136043,16756,2955
G01_16s_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,2,7,36356,6548,697
L02_foundation_model_celltype_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,2,7,40912,7877,1160
B09_cnmf_gene_programs,gemini_omicverse,gemini-3.1-flash-lite-preview,1,20,215241,16217,2745
G01_16s_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,66642,10137,1730
E05_bulk_metabol_multivariate,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,48146,7967,1625
A05_leiden_clustering,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,16239,4695,422
G05_phylogenetic_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,2,18,196475,20300,10772
C02_visium_hd_svg,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,15696,4606,331
B04_multi_method_batch_correction,gemini_omicverse,gemini-3.1-flash-lite-preview,1,10,67710,8562,560
G05_phylogenetic_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,0,18,139132,12298,4233
E05_bulk_metabol_multivariate,gemini_omicverse,gemini-3.1-flash-lite-preview,2,9,44434,6731,1002
A01_qc_filter,gemini_omicverse,gemini-3.1-flash-lite-preview,2,7,53201,10582,2946
B01_full_pipeline,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,17658,5671,903
C01_visium_spatial_domain,gemini_omicverse,gemini-3.1-flash-lite-preview,2,18,167734,13819,3158
G02_multi_method_da,gemini_omicverse,gemini-3.1-flash-lite-preview,0,8,52751,9736,1007
G03_16s_ordination_pcoa,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,83606,13150,1019
F04_multi_backend_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,2,17,195338,18376,3223
C01_visium_spatial_domain,gemini_omicverse,gemini-3.1-flash-lite-preview,1,14,124558,12518,3004
C05_spatial_celltype_deconvolution,gemini_omicverse,gemini-3.1-flash-lite-preview,0,13,411319,81766,4939
C02_visium_hd_svg,gemini_omicverse,gemini-3.1-flash-lite-preview,0,14,703307,118288,4347
E01_bulk_deconvolution,gemini_omicverse,gemini-3.1-flash-lite-preview,0,8,69103,13712,2331
A04_pca_neighbors_umap,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,15091,4146,348
E03_bulk_de_multi_method,gemini_omicverse,gemini-3.1-flash-lite-preview,0,10,73464,10076,1762
B03_diff_expression,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,16682,5580,301
C04_spatial_trajectory_stt,gemini_omicverse,gemini-3.1-flash-lite-preview,0,11,80706,10098,832
G03_16s_ordination_pcoa,gemini_omicverse,gemini-3.1-flash-lite-preview,0,8,41283,7132,1385
B05_multi_method_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,1,8,60768,9778,1179
C02_visium_hd_svg,gemini_omicverse,gemini-3.1-flash-lite-preview,1,13,141769,19674,1406
A02_normalize_log,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,14380,3881,224
F02_multi_method_trajectory,gemini_omicverse,gemini-3.1-flash-lite-preview,2,15,222477,24517,2916
E01_bulk_deconvolution,gemini_omicverse,gemini-3.1-flash-lite-preview,1,7,48032,10112,2962
B02_subset_recluster,gemini_omicverse,gemini-3.1-flash-lite-preview,1,4,14467,3911,272
B04_multi_method_batch_correction,gemini_omicverse,gemini-3.1-flash-lite-preview,0,7,64451,13345,664
C05_spatial_celltype_deconvolution,gemini_omicverse,gemini-3.1-flash-lite-preview,2,7,103769,29279,2018
F03_paga_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,0,6,26313,5832,1040
F02_multi_method_trajectory,gemini_omicverse,gemini-3.1-flash-lite-preview,1,28,428753,27570,4893
L03_foundation_model_zero_shot_inference,gemini_omicverse,gemini-3.1-flash-lite-preview,0,17,121812,10207,1383
E06_pathway_enrichment,gemini_omicverse,gemini-3.1-flash-lite-preview,2,10,65620,10777,1410
A01_qc_filter,gemini_omicverse,gemini-3.1-flash-lite-preview,1,10,128780,18808,2810
L01_foundation_model_cell_embedding,gemini_omicverse,gemini-3.1-flash-lite-preview,1,11,79017,10496,924
F04_multi_backend_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,1,15,152482,18106,3174
E07_ppi_network,gemini_omicverse,gemini-3.1-flash-lite-preview,0,9,45553,6500,1019
A04_pca_neighbors_umap,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,15093,4145,345
B05_multi_method_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,2,23,360463,26986,4543
E03_bulk_de_multi_method,gemini_omicverse,gemini-3.1-flash-lite-preview,2,6,25760,5007,898
F01_multi_mode_velocity,gemini_omicverse,gemini-3.1-flash-lite-preview,2,9,56900,9226,2577
G03_16s_ordination_pcoa,gemini_omicverse,gemini-3.1-flash-lite-preview,2,12,109940,11597,1033
B10_gene_regulatory_network,gemini_omicverse,gemini-3.1-flash-lite-preview,1,28,2202744,294326,5052
E04_bulk_wgcna,gemini_omicverse,gemini-3.1-flash-lite-preview,1,13,180351,22815,7536
G04_16s_taxonomic_collapse,gemini_omicverse,gemini-3.1-flash-lite-preview,2,6,44632,10703,1800
E06_pathway_enrichment,gemini_omicverse,gemini-3.1-flash-lite-preview,1,11,93758,14883,1876
E06_pathway_enrichment,gemini_omicverse,gemini-3.1-flash-lite-preview,0,10,89115,14560,1178
A03_hvg,gemini_omicverse,gemini-3.1-flash-lite-preview,0,5,17612,3764,325
E01_bulk_deconvolution,gemini_omicverse,gemini-3.1-flash-lite-preview,2,9,106040,17550,1360
B11_scrna_cell_cell_communication,gemini_omicverse,gemini-3.1-flash-lite-preview,1,29,1903329,123286,6300
B11_scrna_cell_cell_communication,gemini_omicverse,gemini-3.1-flash-lite-preview,0,15,739805,76055,4085
B06_reference_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,0,16,127061,10995,3085
B11_scrna_cell_cell_communication,gemini_omicverse,gemini-3.1-flash-lite-preview,2,19,924599,85487,3638
B09_cnmf_gene_programs,gemini_omicverse,gemini-3.1-flash-lite-preview,0,14,136693,15579,2470
L02_foundation_model_celltype_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,1,9,59970,8741,897
B10_gene_regulatory_network,gemini_omicverse,gemini-3.1-flash-lite-preview,0,25,131550,7038,1626
F02_multi_method_trajectory,gemini_omicverse,gemini-3.1-flash-lite-preview,0,16,139837,11808,1596
B03_diff_expression,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,17511,6010,472
E04_bulk_wgcna,gemini_omicverse,gemini-3.1-flash-lite-preview,0,49,3065750,163297,41777
F04_multi_backend_pseudotime,gemini_omicverse,gemini-3.1-flash-lite-preview,0,11,109583,17136,2575
A04_pca_neighbors_umap,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,14981,4089,291
B01_full_pipeline,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,17173,5419,726
L04_foundation_model_perturbation_response,gemini_omicverse,gemini-3.1-flash-lite-preview,0,50,1255181,55374,9070
B06_reference_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,2,10,63486,8105,2014
C04_spatial_trajectory_stt,gemini_omicverse,gemini-3.1-flash-lite-preview,1,12,91448,10951,1026
E07_ppi_network,gemini_omicverse,gemini-3.1-flash-lite-preview,2,12,79720,9544,2168
L01_foundation_model_cell_embedding,gemini_omicverse,gemini-3.1-flash-lite-preview,0,22,597597,58944,5179
L03_foundation_model_zero_shot_inference,gemini_omicverse,gemini-3.1-flash-lite-preview,1,17,131536,12419,2160
G05_phylogenetic_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,1,26,543349,39290,3725
F01_multi_mode_velocity,gemini_omicverse,gemini-3.1-flash-lite-preview,0,11,79498,11212,3487
B01_full_pipeline,gemini_omicverse,gemini-3.1-flash-lite-preview,2,5,39020,12411,1272
B08_aucell_pathway_scoring,gemini_omicverse,gemini-3.1-flash-lite-preview,2,8,34702,5478,859
B03_diff_expression,gemini_omicverse,gemini-3.1-flash-lite-preview,2,20,109244,7114,1698
B08_aucell_pathway_scoring,gemini_omicverse,gemini-3.1-flash-lite-preview,1,5,20463,4978,600
A03_hvg,gemini_omicverse,gemini-3.1-flash-lite-preview,1,6,21589,3903,351
B02_subset_recluster,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,14763,4170,322
B04_multi_method_batch_correction,gemini_omicverse,gemini-3.1-flash-lite-preview,2,11,110941,15942,2562
G02_multi_method_da,gemini_omicverse,gemini-3.1-flash-lite-preview,1,10,75015,10735,1575
L02_foundation_model_celltype_annotation,gemini_omicverse,gemini-3.1-flash-lite-preview,0,22,320826,24333,4066
A01_qc_filter,gemini_omicverse,gemini-3.1-flash-lite-preview,0,6,33050,7946,1313
L04_foundation_model_perturbation_response,gemini_omicverse,gemini-3.1-flash-lite-preview,1,44,1023726,71850,6945
A03_hvg,gemini_omicverse,gemini-3.1-flash-lite-preview,2,6,21589,3903,351
B09_cnmf_gene_programs,gemini_omicverse,gemini-3.1-flash-lite-preview,2,14,130761,14559,1887
B02_subset_recluster,gemini_omicverse,gemini-3.1-flash-lite-preview,2,4,14799,4186,302
G01_16s_diversity,gemini_omicverse,gemini-3.1-flash-lite-preview,0,8,45993,7771,1833
G04_16s_taxonomic_collapse,gemini_omicverse,gemini-3.1-flash-lite-preview,0,9,85935,16605,3096
B08_aucell_pathway_scoring,gemini_omicverse,gemini-3.1-flash-lite-preview,0,4,16648,4808,510
C04_spatial_trajectory_stt,codex_omicverse_no_registry,gpt-5.5,0,2,8809,6456,3886
B09_cnmf_gene_programs,codex_omicverse_no_registry,gpt-5.5,0,2,7697,5414,3001
C05_spatial_celltype_deconvolution,codex_omicverse_no_registry,gpt-5.5,0,2,8363,6001,3482
A03_hvg,codex_omicverse_no_registry,gpt-5.5,0,2,5032,2885,801
E07_ppi_network,codex_omicverse_no_registry,gpt-5.5,0,4,20326,9098,7007
C01_visium_spatial_domain,codex_omicverse_no_registry,gpt-5.5,0,3,17850,9055,6502
A01_qc_filter,codex_omicverse_no_registry,gpt-5.5,0,4,18219,7518,5253
L04_foundation_model_perturbation_response,codex_omicverse_no_registry,gpt-5.5,0,5,27983,9193,5684
L03_foundation_model_zero_shot_inference,codex_omicverse_no_registry,gpt-5.5,0,8,55527,12532,7122
A05_leiden_clustering,codex_omicverse_no_registry,gpt-5.5,0,2,6622,4355,1682
L01_foundation_model_cell_embedding,codex_omicverse_no_registry,gpt-5.5,0,9,89830,17006,6086
G02_multi_method_da,codex_omicverse_no_registry,gpt-5.5,0,3,11905,6942,3940
B03_diff_expression,codex_omicverse_no_registry,gpt-5.5,0,3,13047,7341,2383
E05_bulk_metabol_multivariate,codex_omicverse_no_registry,gpt-5.5,0,4,14934,5906,3382
C02_visium_hd_svg,codex_omicverse_no_registry,gpt-5.5,0,6,29126,8689,6898
G04_16s_taxonomic_collapse,codex_omicverse_no_registry,gpt-5.5,0,2,6359,3960,1703
G01_16s_diversity,codex_omicverse_no_registry,gpt-5.5,0,2,7022,4636,2231
B06_reference_annotation,codex_omicverse_no_registry,gpt-5.5,0,2,7585,5240,2994
E01_bulk_deconvolution,codex_omicverse_no_registry,gpt-5.5,0,5,22426,6938,4936
F04_multi_backend_pseudotime,codex_omicverse_no_registry,gpt-5.5,0,7,38390,9344,6795
F03_paga_pseudotime,codex_omicverse_no_registry,gpt-5.5,0,3,10222,5042,2557
F01_multi_mode_velocity,codex_omicverse_no_registry,gpt-5.5,0,8,49919,11140,9484
A04_pca_neighbors_umap,codex_omicverse_no_registry,gpt-5.5,0,4,15939,5291,2105
L02_foundation_model_celltype_annotation,codex_omicverse_no_registry,gpt-5.5,0,3,12073,6594,3814
G05_phylogenetic_diversity,codex_omicverse_no_registry,gpt-5.5,0,2,7778,5400,3125
B02_subset_recluster,codex_omicverse_no_registry,gpt-5.5,0,3,10346,4373,1958
A02_normalize_log,codex_omicverse_no_registry,gpt-5.5,0,2,5158,3027,959
E06_pathway_enrichment,codex_omicverse_no_registry,gpt-5.5,0,2,9323,6982,4535
G03_16s_ordination_pcoa,codex_omicverse_no_registry,gpt-5.5,0,4,15983,5561,3268
B10_gene_regulatory_network,codex_omicverse_no_registry,gpt-5.5,0,7,57877,14490,11484
B01_full_pipeline,codex_omicverse_no_registry,gpt-5.5,0,6,45638,13855,12465
B05_multi_method_annotation,codex_omicverse_no_registry,gpt-5.5,0,3,11742,6146,3021
B04_multi_method_batch_correction,codex_omicverse_no_registry,gpt-5.5,0,3,10298,4453,1709
E03_bulk_de_multi_method,codex_omicverse_no_registry,gpt-5.5,0,3,17514,9168,5291
B08_aucell_pathway_scoring,codex_omicverse_no_registry,gpt-5.5,0,2,6707,4426,1771
B11_scrna_cell_cell_communication,codex_omicverse_no_registry,gpt-5.5,0,3,12728,7528,3893
E04_bulk_wgcna,codex_omicverse_no_registry,gpt-5.5,0,4,19347,7241,4311
F02_multi_method_trajectory,codex_omicverse_no_registry,gpt-5.5,0,3,10442,5238,2984
A02_normalize_log,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,5027,1689,218
A05_leiden_clustering,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,6948,2450,444
E07_ppi_network,gemini_baseline,gemini-3.1-flash-lite-preview,1,10,30301,4947,2272
B06_reference_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,1,6,18645,4661,1378
B10_gene_regulatory_network,gemini_baseline,gemini-3.1-flash-lite-preview,2,19,257592,24861,8003
G04_16s_taxonomic_collapse,gemini_baseline,gemini-3.1-flash-lite-preview,1,9,87751,17037,2919
A02_normalize_log,gemini_baseline,gemini-3.1-flash-lite-preview,2,4,5027,1689,218
F01_multi_mode_velocity,gemini_baseline,gemini-3.1-flash-lite-preview,1,17,157424,18212,7423
E04_bulk_wgcna,gemini_baseline,gemini-3.1-flash-lite-preview,2,6,16990,4087,1439
L01_foundation_model_cell_embedding,gemini_baseline,gemini-3.1-flash-lite-preview,2,46,391072,19527,5510
C04_spatial_trajectory_stt,gemini_baseline,gemini-3.1-flash-lite-preview,2,9,39500,8500,2666
E05_bulk_metabol_multivariate,gemini_baseline,gemini-3.1-flash-lite-preview,0,7,15545,3567,954
A05_leiden_clustering,gemini_baseline,gemini-3.1-flash-lite-preview,2,4,6920,2438,433
E03_bulk_de_multi_method,gemini_baseline,gemini-3.1-flash-lite-preview,1,6,12287,2961,992
F03_paga_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,2,7,19666,4540,1960
G02_multi_method_da,gemini_baseline,gemini-3.1-flash-lite-preview,2,9,19948,3322,1312
F03_paga_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,1,9,30441,6033,2290
C01_visium_spatial_domain,gemini_baseline,gemini-3.1-flash-lite-preview,0,30,400648,20272,10668
B05_multi_method_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,0,20,181497,16273,6041
C05_spatial_celltype_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,1,6,36468,9256,2604
G01_16s_diversity,gemini_baseline,gemini-3.1-flash-lite-preview,2,8,21484,3761,1017
L02_foundation_model_celltype_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,2,22,118690,10241,4338
B09_cnmf_gene_programs,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,5814,1873,554
G01_16s_diversity,gemini_baseline,gemini-3.1-flash-lite-preview,1,8,21536,3777,1028
E05_bulk_metabol_multivariate,gemini_baseline,gemini-3.1-flash-lite-preview,1,8,23399,5393,1233
A05_leiden_clustering,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,6838,2397,412
G05_phylogenetic_diversity,gemini_baseline,gemini-3.1-flash-lite-preview,2,14,93764,13253,7259
C02_visium_hd_svg,gemini_baseline,gemini-3.1-flash-lite-preview,2,4,7041,2518,1118
B04_multi_method_batch_correction,gemini_baseline,gemini-3.1-flash-lite-preview,1,15,45537,4255,1970
G05_phylogenetic_diversity,gemini_baseline,gemini-3.1-flash-lite-preview,0,11,32983,5551,3219
E05_bulk_metabol_multivariate,gemini_baseline,gemini-3.1-flash-lite-preview,2,10,36214,6222,1550
A01_qc_filter,gemini_baseline,gemini-3.1-flash-lite-preview,2,20,609701,42055,3772
B01_full_pipeline,gemini_baseline,gemini-3.1-flash-lite-preview,1,3,5959,2657,856
C01_visium_spatial_domain,gemini_baseline,gemini-3.1-flash-lite-preview,2,13,75179,11366,4430
G02_multi_method_da,gemini_baseline,gemini-3.1-flash-lite-preview,0,9,20146,3359,1349
G03_16s_ordination_pcoa,gemini_baseline,gemini-3.1-flash-lite-preview,1,7,14307,2840,1050
F04_multi_backend_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,2,6,14485,4161,1271
C01_visium_spatial_domain,gemini_baseline,gemini-3.1-flash-lite-preview,1,20,167810,15272,6531
C05_spatial_celltype_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,0,5,45713,20139,1131
C02_visium_hd_svg,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,7108,2697,976
E01_bulk_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,0,5,13008,3855,1534
A04_pca_neighbors_umap,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,4699,1438,238
E03_bulk_de_multi_method,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,6968,2477,740
B03_diff_expression,gemini_baseline,gemini-3.1-flash-lite-preview,1,9,26767,5588,1197
C04_spatial_trajectory_stt,gemini_baseline,gemini-3.1-flash-lite-preview,0,8,39472,8742,2949
G03_16s_ordination_pcoa,gemini_baseline,gemini-3.1-flash-lite-preview,0,7,18518,4585,2197
B05_multi_method_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,1,11,52123,7938,2262
C02_visium_hd_svg,gemini_baseline,gemini-3.1-flash-lite-preview,1,9,38995,7689,3794
A02_normalize_log,gemini_baseline,gemini-3.1-flash-lite-preview,0,3,2931,1123,182
F02_multi_method_trajectory,gemini_baseline,gemini-3.1-flash-lite-preview,2,22,178444,15258,4100
E01_bulk_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,1,9,36865,7358,5032
B02_subset_recluster,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,5141,1744,284
B04_multi_method_batch_correction,gemini_baseline,gemini-3.1-flash-lite-preview,0,21,176987,11898,3463
C05_spatial_celltype_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,2,5,58294,18638,1837
F03_paga_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,0,7,19301,4486,1763
F02_multi_method_trajectory,gemini_baseline,gemini-3.1-flash-lite-preview,1,14,51991,5816,2300
L03_foundation_model_zero_shot_inference,gemini_baseline,gemini-3.1-flash-lite-preview,0,15,149455,16222,1276
E06_pathway_enrichment,gemini_baseline,gemini-3.1-flash-lite-preview,2,16,148385,17504,3906
A01_qc_filter,gemini_baseline,gemini-3.1-flash-lite-preview,1,44,555343,24214,10539
L01_foundation_model_cell_embedding,gemini_baseline,gemini-3.1-flash-lite-preview,1,50,1272070,64009,7685
F04_multi_backend_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,1,5,8276,2477,537
E07_ppi_network,gemini_baseline,gemini-3.1-flash-lite-preview,0,10,35457,5718,2298
A04_pca_neighbors_umap,gemini_baseline,gemini-3.1-flash-lite-preview,2,4,4699,1438,238
B05_multi_method_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,2,10,29180,4701,2079
E03_bulk_de_multi_method,gemini_baseline,gemini-3.1-flash-lite-preview,2,9,29425,5257,1999
F01_multi_mode_velocity,gemini_baseline,gemini-3.1-flash-lite-preview,2,13,75683,11701,3630
G03_16s_ordination_pcoa,gemini_baseline,gemini-3.1-flash-lite-preview,2,5,9489,2629,1005
B10_gene_regulatory_network,gemini_baseline,gemini-3.1-flash-lite-preview,1,18,187447,22541,7432
E04_bulk_wgcna,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,10438,3718,915
G04_16s_taxonomic_collapse,gemini_baseline,gemini-3.1-flash-lite-preview,2,9,88711,16313,3175
E06_pathway_enrichment,gemini_baseline,gemini-3.1-flash-lite-preview,1,16,145827,15493,3768
E06_pathway_enrichment,gemini_baseline,gemini-3.1-flash-lite-preview,0,10,28686,4078,911
A03_hvg,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,4055,1171,235
E01_bulk_deconvolution,gemini_baseline,gemini-3.1-flash-lite-preview,2,8,34531,8204,4162
B11_scrna_cell_cell_communication,gemini_baseline,gemini-3.1-flash-lite-preview,1,7,15512,3170,1368
B11_scrna_cell_cell_communication,gemini_baseline,gemini-3.1-flash-lite-preview,0,7,17911,4226,1555
B06_reference_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,0,10,47228,7146,2480
B11_scrna_cell_cell_communication,gemini_baseline,gemini-3.1-flash-lite-preview,2,15,61333,7129,3186
B09_cnmf_gene_programs,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,5721,1831,503
L02_foundation_model_celltype_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,1,4,8098,3016,1123
B10_gene_regulatory_network,gemini_baseline,gemini-3.1-flash-lite-preview,0,25,277902,21012,4927
F02_multi_method_trajectory,gemini_baseline,gemini-3.1-flash-lite-preview,0,7,21778,4744,1056
B03_diff_expression,gemini_baseline,gemini-3.1-flash-lite-preview,0,4,7250,3307,398
E04_bulk_wgcna,gemini_baseline,gemini-3.1-flash-lite-preview,0,6,41529,11173,2064
F04_multi_backend_pseudotime,gemini_baseline,gemini-3.1-flash-lite-preview,0,10,45909,8778,2237
A04_pca_neighbors_umap,gemini_baseline,gemini-3.1-flash-lite-preview,0,3,3268,1255,191
B01_full_pipeline,gemini_baseline,gemini-3.1-flash-lite-preview,0,3,6065,2934,849
L04_foundation_model_perturbation_response,gemini_baseline,gemini-3.1-flash-lite-preview,0,9,19097,3144,941
B06_reference_annotation,gemini_baseline,gemini-3.1-flash-lite-preview,2,25,401187,29598,12454
C04_spatial_trajectory_stt,gemini_baseline,gemini-3.1-flash-lite-preview,1,10,34094,4819,1567
L03_foundation_model_zero_shot_inference,gemini_baseline,gemini-3.1-flash-lite-preview,2,23,89836,7333,2976
E07_ppi_network,gemini_baseline,gemini-3.1-flash-lite-preview,2,8,20640,4464,1929
L01_foundation_model_cell_embedding,gemini_baseline,gemini-3.1-flash-lite-preview,0,22,316357,24837,3283
L03_foundation_model_zero_shot_inference,gemini_baseline,gemini-3.1-flash-lite-preview,1,18,117654,9754,3231
G05_phylogenetic_diversity,gemini_baseline,gemini-3.1-flash-lite-preview,1,16,157969,19635,10202
F01_multi_mode_velocity,gemini_baseline,gemini-3.1-flash-lite-preview,0,18,127487,10103,3859
B01_full_pipeline,gemini_baseline,gemini-3.1-flash-lite-preview,2,3,6593,3196,929
B08_aucell_pathway_scoring,gemini_baseline,gemini-3.1-flash-lite-preview,2,3,4591,2214,460
B03_diff_expression,gemini_baseline,gemini-3.1-flash-lite-preview,2,4,7234,3295,390
